,X,pathway_id,pathway_name,Gene count,gene_symbols
11,hsa04120,hsa04120,Ubiquitin mediated proteolysis - Homo sapiens (human),132,"UBB, UBC, UBA52, RPS27A, UBA1, SAE1, UBA2, UBA3, UBA7, UBA6, UBE2A, UBE2B, UBE2C, UBE2D4, UBE2D1, UBE2D2, UBE2D3, UBE2E3, UBE2E1, UBE2E2, UBE2F, UBE2G1, UBE2G2, UBE2H, UBE2I, UBE2J1, UBE2J2, UBE2K, UBE2L3, UBE2L6, UBE2M, UBE2NL, UBE2N, UBE2O, UBE2Q1, UBE2Q2, UBE2QL1, UBE2R2, CDC34, UBE2S, UBE2U, UBE2W, UBE2Z, BIRC6, UBE3A, UBE3B, UBE3C, SMURF1, SMURF2, ITCH, WWP1, WWP2, TRIP12, NEDD4, NEDD4L, HUWE1, UBR5, HERC1, HERC2, HERC3, HERC4, UBE4A, UBE4B, STUB1, PPIL2, PRPF19, UBOX5, MDM2, CBL, CBLB, CBLC, PRKN, SIAH1, PML, TRAF6, MAP3K1, COP1, RCHY1, BIRC2, BIRC3, XIAP, BIRC7, PIAS1, PIAS2, PIAS3, PIAS4, SYVN1, NHLRC1, AIRE, MGRN1, BRCA1, FANCL, MID1, TRIM32, TRIM37, RBX1, CUL1, SKP1, BTRC, FBXW11, SKP2, FBXW7, FBXO2, FBXO4, CUL2, ELOC, ELOB, VHL, CUL3, KEAP1, KLHL9, KLHL13, RHOBTB2, RHOBTB1, CUL4B, CUL4A, DDB1, DDB2, ERCC8, DET1, RNF7, CUL5, SOCS1, SOCS3, CUL7, FBXW8, ANAPC11, ANAPC2, CDC20, FZR1, ANAPC1, CDC27, ANAPC4, ANAPC5, CDC16, ANAPC7, CDC23, ANAPC10, CDC26, ANAPC13, ANAPC15, ANAPC16"
12,hsa03050,hsa03050,Proteasome - Homo sapiens (human),46,"PSMD3, PSMD9, PSMD12, PSMD11, PSMD6, PSMD7, PSMD13, PSMD14, PSMD8, SEM1, PSMD4, PSMD2, PSMD1, ADRM1, PSMC2, PSMC1, PSMC5, PSMC6, PSMC3, PSMC4, PSME1, PSME2, PSME3, PSME4, PSMA6, PSMA2, PSMA4, PSMA7, PSMA8, PSMA5, PSMA1, PSMA3, PSMB6, PSMB7, PSMB3, PSMB2, PSMB5, PSMB1, PSMB4, PSMB9, PSMB10, PSMB8, PSMB11, IFNG, PSMF1, POMP"
13,hsa03018,hsa03018,RNA degradation - Homo sapiens (human),77,"DCPS, EXOSC1, EXOSC2, EXOSC3, EXOSC8, EXOSC6, EXOSC7, EXOSC4, EXOSC5, EXOSC9, DIS3, EXOSC10, C1D, MPHOSPH6, DIS3L, TENT4A, TENT4B, ZCCHC7, MTREX, SKIC2, SKIC3, SKIC8, CNOT6, CNOT6L, CNOT1, CNOT2, CNOT3, CNOT4, CNOT7, CNOT8, CNOT9, CNOT10, DHX36, PARN, PNLDC1, TOB1, TOB2, BTG3, BTG4, BTG1, BTG2, PABPC1, PABPC5, PABPC3, PABPC1L2B, PABPC1L, PABPC1L2A, PABPC4, PABPC4L, PAN2, PAN3, DCP1A, DCP1B, DCP2, DDX6, EDC3, EDC4, PATL1, XRN1, XRN2, NUDT16, LSM1, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, LSM8, ENO3, ENO2, ENO1, PNPT1, PFKM, PFKP, PFKL, HSPA9, HSPD1"
14,hsa03030,hsa03030,DNA replication - Homo sapiens (human),36,"SSBP1, RNASEH1, RPA1, PCNA, DNA2, FEN1, LIG1, POLA1, POLA2, PRIM1, PRIM2, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, POLE4, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, RPA2, RPA4, RPA3, RFC1, RFC4, RFC2, RFC5, RFC3, RNASEH2A, RNASEH2B, RNASEH2C"
15,hsa03410,hsa03410,Base excision repair - Homo sapiens (human),42,"OGG1, NTHL1, NEIL1, NEIL2, NEIL3, UNG, SMUG1, MUTYH, MPG, MBD4, TDG, APEX1, PNKP, TDP1, POLB, POLL, HMGB1, PARP1, PARP2, PARP3, PARP4, PARG, ADPRS, APTX, XRCC1, POLG, POLG2, LIG3, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, POLE4, PCNA, RFC1, RFC4, RFC2, RFC5, RFC3, FEN1, LIG1"
16,hsa03420,hsa03420,Nucleotide excision repair - Homo sapiens (human),60,"RBX1, CUL4B, CUL4A, DDB1, DDB2, XPC, RAD23B, RAD23A, CETN2, ERCC8, ERCC6, UVSSA, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2H, POLR2I, POLR2L, POLR2K, POLR2J, POLR2J3, POLR2J2, POLR2M, CDK7, MNAT1, CCNH, ERCC3, ERCC2, GTF2H5, GTF2H1, GTF2H2, GTF2H2C_2, GTF2H2C, GTF2H3, GTF2H4, ERCC5, BIVM-ERCC5, XPA, RPA1, RPA2, RPA3, RPA4, ERCC4, ERCC1, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, POLE4, PCNA, RFC1, RFC4, RFC2, RFC5, RFC3, LIG1"
17,hsa03430,hsa03430,Mismatch repair - Homo sapiens (human),23,"SSBP1, PMS2, MLH1, MSH6, MSH2, MSH3, MLH3, RFC1, RFC4, RFC2, RFC5, RFC3, PCNA, EXO1, RPA1, RPA2, RPA3, RPA4, POLD1, POLD2, POLD3, POLD4, LIG1"
18,hsa03440,hsa03440,Homologous recombination - Homo sapiens (human),41,"SSBP1, RAD50, MRE11, NBN, ATM, BRCA1, BARD1, RBBP8, BRIP1, TOPBP1, ABRAXAS1, UIMC1, BABAM1, BABAM2, BRCC3, PALB2, BRCA2, SEM1, SYCP3, RPA1, RPA2, RPA3, RPA4, RAD51, RAD52, RAD51B, RAD51C, RAD51D, XRCC2, XRCC3, RAD54L, RAD54B, POLD1, POLD2, POLD3, POLD4, BLM, TOP3A, TOP3B, MUS81, EME1"
19,hsa03460,hsa03460,Fanconi anemia pathway - Homo sapiens (human),54,"ATRIP, ATR, FANCM, FAAP24, CENPS, CENPS-CORT, CENPX, TELO2, HES1, FAAP100, FANCA, FANCB, FANCC, FANCE, FANCF, FANCG, FANCL, WDR48, USP1, UBE2T, FANCI, FANCD2, BRCA2, PALB2, RAD51C, RAD51, BRCA1, BRIP1, FAN1, MLH1, PMS2, REV1, REV3L, POLH, POLI, POLK, POLN, RMI1, RMI2, TOP3A, TOP3B, BLM, RPA1, RPA2, RPA3, RPA4, MUS81, EME1, EME2, ERCC4, ERCC1, SLX1A, SLX1B, SLX1A-like, SLX4"
20,hsa03082,hsa03082,ATP-dependent chromatin remodeling - Homo sapiens (human),109,"SMARCA5, BAZ1A, BAZ1B, BAZ2A, BAZ2B, CHRAC1, POLE3, RSF1, SMARCA1, BPTF, RBBP4, RBBP7, C17orf49, CECR2, CHD3, CHD4, HDAC1, HDAC2, MBD2, MBD3, MTA2, MTA1, MTA3, GATAD2A, GATAD2B, PHF6, CDK2AP1, CDK2AP2, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, ACTG1, ACTB, ACTL6A, ACTL6B, BCL7B, BCL7C, BCL7A, SS18L1, SS18, ARID1B, ARID1A, DPF1, DPF3, DPF2, ARID2, PBRM1, BRD7, PHF10, BRD9, BICRA, BICRAL, INO80, INO80B, INO80C, INO80D, INO80E, TFPT, NFRKB, MCRS1, UCHL5, RUVBL1, RUVBL2, ACTR5, ACTR8, YY1, YY2, SRCAP, DMAP1, YEATS4, VPS72, H2AX, H2AC20, H2AC12, H2AC1, H2AC25, H2AB3, H2AC8, H2AC4, MACROH2A2, MACROH2A1, H2AC19, H2AJ, H2AB1, H2AC17, H2AC18, H2AC11, H2AC21, H2AZ2, H2AC7, H2AZ1, H2AC15, H2AC6, H2AC13, H2AC14, H2AC16, H2AB2, H2AL3, ACTR6, ZNHIT1, EP400, TRRAP, MORF4L1, MORF4L2, MRGBP, BRD8, ING3, EPC1, EPC2, MEAF6, KAT5"
21,hsa03083,hsa03083,Polycomb repressive complex - Homo sapiens (human),74,"EZH1, EZH2, EED, SUZ12, RBBP4, RBBP7, PHF1, MTF2, PHF19, EPOP, LCOR, AEBP2, JARID2, BAP1, ASXL1, ASXL2, ASXL3, OGT, HCFC1, YY1, YY2, MBD5, MBD6, FOXK2, FOXK1, RNF2, RING1, PCGF2, BMI1, COMMD3-BMI1, CBX2, CBX4, CBX6, CBX7, CBX8, PHC1, PHC2, PHC3, SCML1, SCML2, SCMH1, SFMBT2, SFMBT1, AURKB, UBE2D4, UBE2D1, UBE2D2, UBE2D3, USP45, USP16, RYBP, YAF2, PCGF1, KDM2B, KDM2A, BCOR, BCORL1, SKP1, USP7, PCGF3, PCGF5, CSNK2B, AUTS2, FBRS, FBRSL1, DCAF7, TEX10, CREBBP, EP300, PCGF6, E2F6, TFDP1, MAX, MGA, L3MBTL1, L3MBTL3, L3MBTL2, L3MBTL4, CBX3, WDR5, WDR5B, HDAC1, HDAC2"
22,hsa03250,hsa03250,Viral life cycle - HIV-1 - Homo sapiens (human),59,"CCR5, CXCR4, CD4, MAP1A, MAP1B, MAP1S, FEZ1, BICD2, BICD1, TRIM5, APOBEC3H, APOBEC3F, APOBEC3A_B, APOBEC3D, APOBEC3A, APOBEC3C, APOBEC3G, APOBEC3B, SAMHD1, PSIP1, PIN1, SMARCB1, PPIA, CPSF6, CPSF7, TNPO3, MX1, MX2, RANBP2, NUP153, CREBBP, EP300, KAT2B, KAT2A, MDFIC, CDK9, CCNT1, CCNT2, AFF4, ELL2, ELL3, ELL, MLLT1, MLLT3, NELFA, NELFB, NELFCD, NELFE, SUPT4H1, SUPT5H, XPO1, RAN, FURIN, SERINC3, SERINC5, BST2, HGS, TSG101, CHMP6, CHMP4B, CHMP4A, PDCD6IP, VPS4B, VPS4A"
23,hsa02010,hsa02010,ABC transporters - Homo sapiens (human),32,"DEFB1, ABCA1, ABCA2, ABCA3, ABCA4, ABCA7, ABCA12, ABCA13, ABCA5, ABCA6, ABCA8, ABCA9, ABCA10, TAP1, TAP2, ABCB8, ABCB9, ABCB10, ABCB1, ABCB4, ABCB5, ABCB6, ABCB7, ABCB11, ABCC1, ABCC2, ABCC3, ABCC4, ABCC5, ABCC6, ABCC10, ABCC11, ABCC12, CFTR, ABCC8, ABCC9, ABCD1, ABCD2, ABCD3, ABCD4, ABCG1, ABCG4, ABCG2, ABCG5, ABCG8"
24,hsa04010,hsa04010,MAPK signaling pathway - Homo sapiens (human),289,"CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1E, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNA2D4, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CACNG2, CACNG3, CACNG4, CACNG5, CACNG6, CACNG7, CACNG8, PRKACA, PRKACB, PRKACG, PRKCA, PRKCB, PRKCG, GNA12, GNG12, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, RASGRF1, RASGRF2, RASGRP1, RASGRP2, RASGRP3, RASGRP4, RAPGEF2, NF1, RASA1, RASA2, RAP1A, RAP1B, EGF, TGFA, EREG, AREG, FGF1, FGF2, FGF3, FGF4, FGF17, FGF6, FGF7, FGF8, FGF9, FGF10, FGF16, FGF5, FGF18, FGF20, FGF22, FGF19, FGF21, FGF23, NGF, BDNF, NTF3, NTF4, INS, IGF1, IGF2, PDGFA, PDGFB, PDGFC, PDGFD, CSF1, KITLG, FLT3LG, VEGFA, VEGFB, PGF, VEGFC, VEGFD, HGF, ANGPT1, ANGPT2, ANGPT4, EFNA1, EFNA2, EFNA3, EFNA4, EFNA5, EFNA4-EFNA3, GDNF, NRTN, ARTN, PSPN, EGFR, ERBB2, ERBB3, ERBB4, FGFR1, FGFR2, FGFR3, FGFR4, NGFR, NTRK1, NTRK2, INSR, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FLT1, FLT4, KDR, MET, TEK, EPHA2, RET, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, RRAS, RRAS2, MRAS, ARAF, BRAF, RAF1, MAP2K1, MAP2K2, LAMTOR3, MAPK1, MAPK3, MKNK1, MKNK2, RPS6KA3, RPS6KA1, RPS6KA2, RPS6KA6, ATF4, ELK1, ELK4, MYC, SRF, FOS, MAPT, STMN1, PLA2G4E, PLA2G4A, JMJD7-PLA2G4B, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4F, TNF, IL1A, IL1B, TGFB1, TGFB2, TGFB3, TNFRSF1A, IL1R1, IL1RAP, TGFBR1, TGFBR2, FASLG, FAS, CD14, RAC1, RAC2, RAC3, CDC42, TRADD, CASP3, TRAF2, DAXX, MYD88, IRAK1, IRAK4, TRAF6, GADD45A, GADD45B, GADD45G, TAB1, TAB2, ECSIT, MAP4K3, MAP4K4, MAP4K1, PAK1, PAK2, STK4, STK3, MAP4K2, MAP3K8, MAP3K1, MAP3K11, MAP3K2, MAP3K3, MAP3K9, MAP3K10, MAP3K21, MAP3K12, MAP3K13, MAP3K20, MAP3K6, MAP3K5, MAP3K7, MAP3K4, TAOK2, TAOK3, TAOK1, MAP2K4, MAP2K7, MAP2K3, MAP2K6, MAPK8IP1, MAPK8IP2, MAPK8IP3, FLNA, CRK, CRKL, ARRB1, ARRB2, MAPK8, MAPK10, MAPK9, MAPK11, MAPK12, MAPK13, MAPK14, MAPKAPK5, MAPKAPK2, MAPKAPK3, RPS6KA5, RPS6KA4, CDC25B, NFATC1, NFATC3, JUN, JUND, ATF2, TP53, DDIT3, MAX, MEF2C, HSPB1, AKT1, AKT2, AKT3, PPM1A, PTPRR, PTPN5, PTPN7, DUSP1, DUSP4, DUSP2, DUSP7, DUSP8, DUSP5, DUSP16, DUSP6, DUSP9, DUSP10, DUSP3, PPP5C, PPM1B, HSPA8, HSPA1A, HSPA1L, HSPA1B, HSPA6, MECOM, MAP2K5, MAPK7, NR4A1, MAP3K14, CHUK, IKBKB, IKBKG, NLK, NFKB1, NFKB2, RELA, RELB"
